left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
324.7330130984611,233.93357612387507,312.2482656135563,230.44888369061144,321.56597900390625,233.0496063232422
325.1649602082982,232.45134801017588,312.67920073100805,228.96857742090805,321.9806213378906,231.5631103515625
325.5931794585941,230.98161552281775,313.1073755535581,227.4969167338936,322.3922424316406,230.0882568359375
326.01583743657596,229.53040534644614,313.5312308758625,226.03776350016022,322.79998779296875,228.63075256347656
326.4335492887227,228.09960586062897,313.9506577708135,224.59563166348272,323.2035827636719,227.1929473876953
326.8453883120745,226.6872056153382,314.3657187614443,223.16934197677296,323.6037292480469,225.77342224121094
327.25310878738406,225.28946026532887,314.77748768968496,221.75484094818,324.0018310546875,224.36830139160156
327.6582071148775,223.90051505970112,315.18665440715256,220.34772963361695,324.3995361328125,222.9722137451172
328.06179524537475,222.51480967460134,315.5949945144927,218.94474519415098,324.79815673828125,221.58021545410156
328.4656244227108,221.1289878870308,316.0034718349766,217.5410465762765,325.1988525390625,220.18846130371094
328.8701489352754,219.7398930260266,316.41134228885653,216.13623898640145,325.6020202636719,218.7946014404297
329.2756360388227,218.3471984458239,316.8209253134747,214.72884367867647,326.0078125,217.3978271484375
329.68328799443856,216.95120246982546,317.2312027364357,213.3190331722018,326.41607666015625,215.99818420410156
330.09029394904235,215.55165908800805,317.6412906461152,211.9072354221562,326.8265075683594,214.59619140625
330.49837322280047,214.14982754912992,318.05217164877973,210.49476722255912,327.23870849609375,213.19256591796875
330.907692238429,212.74692130037747,318.4631761604195,209.08049544392145,327.6525573730469,211.7878875732422
331.3165337143462,211.3423116694514,318.874286463251,207.6666475738184,328.0677185058594,210.38255310058594
331.7258871869644,209.93691631403922,319.28564152244553,206.25280813137883,328.4840087890625,208.9768524169922
332.1352363140356,208.53093167458366,319.6972012326607,204.83877812466176,328.9013366699219,207.5709686279297
332.5451015222692,207.12446557069777,320.1087540861648,203.4248458810911,329.3196105957031,206.16493225097656
332.9547591283581,205.71747297994605,320.5195711428313,202.01061242388192,329.73876953125,204.75880432128906
333.3645957641842,204.31004519625495,320.93124123745514,200.5966871590396,330.15875244140625,203.3525848388672
333.77487042981966,202.90215779969728,321.3425519205353,199.1831458069347,330.5794372558594,201.94627380371094
334.18497574198886,201.49372776424545,321.75358072950917,197.76983912049405,331.000732421875,200.5398712158203
334.59459496246353,200.08498716511156,322.1645984994169,196.35582640537916,331.4226989746094,199.1333770751953
335.8517273983854,195.76889794247813,323.4235512207321,192.0303226246247,332.71832275390625,194.82632446289062
336.2790121617754,194.3015452850593,323.85290945708925,190.55558258537866,333.15997314453125,193.3612823486328
336.706667809592,192.83199516497496,324.2808394935395,189.0862217205666,333.6016845703125,191.89599609375
337.1338472084366,191.3628902484301,324.70918407716545,187.61451895690337,334.04376220703125,190.43064880371094
337.56187831826526,189.89214363079572,325.13622722860976,186.14754028006362,334.4854431152344,188.96502685546875
337.9903894843854,188.4221501016726,325.56432396428573,184.67822629577282,334.9270935058594,187.4991912841797
338.4178450338464,186.95173983287444,325.99277625315915,183.20858391847025,335.3687438964844,186.03317260742188
338.8449693548245,185.48056200807693,326.41986258401556,181.74018966106095,335.81011962890625,184.5669708251953
339.274030749407,184.01016631992863,326.84810187727214,180.27100907617842,336.2513732910156,183.10060119628906
339.7020928935537,182.53943650143455,327.27608674920475,178.80174350293456,336.6924743652344,181.6341552734375
340.12946400804543,181.06851578331228,327.7038289499045,177.33147879519612,337.1335754394531,180.16749572753906
340.55817556358716,179.59810546857514,328.13181926168215,175.8608904459423,337.5746765136719,178.70082092285156
340.98635286700386,178.12739653501757,328.560336809029,174.39051710381335,338.0157775878906,177.2340545654297
341.41432899693154,176.65602251707512,328.9888900624816,172.92159250426025,338.4566650390625,175.76710510253906
341.842096168099,175.18497353206917,329.4169748230921,171.45141442521694,338.8974609375,174.30015563964844
342.2705376977833,173.71452205881312,329.84543265762795,169.97975312340213,339.3384094238281,172.8331756591797
342.6984300171072,172.24273355400635,330.27348586453854,168.5113607694903,339.7790222167969,171.36599731445312
343.12635087714267,170.77208095501044,330.7027372876535,167.0391569167027,340.2198791503906,169.89877319335938
343.5552876567531,169.30033944020153,331.1315842467619,165.57153597297227,340.6602783203125,168.4314422607422
343.9826151009347,167.82815826928436,331.55929679106345,164.10325541837406,341.10028076171875,166.9639434814453
344.4106609473924,166.35605439396312,331.9871406177359,162.63502994524856,341.5398864746094,165.4962158203125
344.8391714877381,164.88423055224584,332.4157495396692,161.1666058672578,341.9791259765625,164.02838134765625
345.26670086596914,163.41197731233999,332.8443370998303,159.69827041754132,342.4179992675781,162.5603485107422
345.69458929651665,161.9397644517545,333.272371579736,158.23056830404087,342.8563537597656,161.09228515625
346.1225239580398,160.4671123714535,333.6997854032647,156.76405779524134,343.2940368652344,159.6239776611328
346.5512728335521,158.99507939446607,334.12806463566386,155.2971642368197,343.7311096191406,158.15562438964844
346.9789217782327,157.52210683047633,334.55487498530965,153.8320438499629,344.16729736328125,156.68702697753906
347.4071038424301,156.0497087633047,334.98145671811636,152.36611346091962,344.6026916503906,155.2183380126953
347.83556957600786,154.57725562106057,335.4087553315247,150.90126083146214,345.0372009277344,153.7494659423828
348.2629635857657,153.1047881714324,335.8353313232625,149.43597153367423,345.4708557128906,152.280517578125
348.69126507582445,151.6325319594939,336.2620849018874,147.9712410838037,345.90362548828125,150.81137084960938
349.1200116389071,150.16063816845315,336.68863463029663,146.5067811481416,346.33544921875,149.34219360351562
349.5480972129852,148.68885716250966,337.1159460396062,145.04168312986076,346.7665100097656,147.87283325195312
349.976205379664,147.21736522094955,337.5425801377286,143.57610770201848,347.19683837890625,146.40341186523438
350.4038217479971,145.74597835585286,337.9706711239646,142.11123976971646,347.62640380859375,144.93402099609375
350.8309001761713,144.27495698467544,338.3967337988415,140.64497323474558,348.05535888671875,143.4646759033203
351.26087759750874,142.80490689222063,338.8242225670339,139.1799493671889,348.4836120605469,141.9954071044922
351.6878809337981,141.33426864016175,339.2514906863573,137.71532467338884,348.9111328125,140.5262451171875
352.1148781875825,139.8649704892583,339.67870973017716,136.2469693450522,349.3385009765625,139.0572509765625
352.5415271506981,138.39624008122513,340.1063581527805,134.77777798907456,349.765869140625,137.58856201171875
352.9699088949934,136.92922000416348,340.5360062635301,133.30586844079386,350.1937561035156,136.12022399902344
353.3966226627127,135.4609897255802,340.96371383132447,131.8372122653392,350.62164306640625,134.6521759033203
353.82293063125695,133.99411497178318,341.3932865540308,130.3656142323866,351.050048828125,133.1846466064453
