left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
215.0108035524183,-356.6763952566935,213.8929303580955,-344.3268756759744,214.47891235351562,-350.8004150390625
213.30869268012538,-356.81809457417637,212.20589112790904,-344.44714056657057,212.78570556640625,-350.95135498046875
211.6218234994468,-356.95649300285646,210.53140081104695,-344.56436386725574,211.10641479492188,-351.09912109375
209.9578575810729,-357.090854868577,208.88065290344002,-344.67749495527335,209.45037841796875,-351.2428283691406
208.32330409446448,-357.2208513254647,207.2580656889395,-344.7863849814622,207.8231201171875,-351.3822326660156
206.71795155854238,-357.346448996995,205.66562722310962,-344.8908117352776,206.2254638671875,-351.5172119140625
205.14036721717451,-357.4679913803476,204.09978411794592,-344.9912981928003,204.6549835205078,-351.648193359375
203.5858902023428,-357.5860178190165,202.55633783264184,-345.08834123741315,203.10723876953125,-351.77569580078125
202.04892676828598,-357.70087832659186,201.03168233763103,-345.1821283967211,201.5775604248047,-351.8999938964844
200.52564890454346,-357.8128049557942,199.521700376255,-345.272917182624,200.06198120117188,-352.0213317871094
199.01350820397204,-357.92196391526215,198.02345551019621,-345.36090927531103,198.55776977539062,-352.139892578125
197.51138356625708,-358.03832665617125,196.53441613276337,-345.4260969307684,197.06344604492188,-352.2556457519531
196.01722449432776,-358.1518163721904,195.05920030795795,-345.53813357648113,195.57797241210938,-352.36846923828125
194.52989346190586,-358.2622138657696,193.58989117766413,-345.5970369714517,194.10060119628906,-352.4781188964844
193.04969314382785,-358.3694898169698,192.13175607998647,-345.702694578806,192.63047790527344,-352.58465576171875
191.57388007818338,-358.4734699623081,190.67788501777753,-345.7549791322246,191.16629028320312,-352.68780517578125
190.10157629173773,-358.57395960089895,189.2334857157379,-345.85353370806615,189.70668029785156,-352.78741455078125
188.6351692993832,-358.72080443873944,187.79273934743256,-345.94854410464666,188.25015258789062,-352.88348388671875
187.16588510158272,-358.81408480506667,186.35187195703259,-345.9898806961551,186.79530334472656,-352.975830078125
185.6993635438728,-358.9534902068753,184.91536310780074,-346.07732315523873,185.34078979492188,-353.06439208984375
184.23064510883853,-359.0888671049704,183.4800734903347,-346.16062348458854,183.8857879638672,-353.14886474609375
182.7600298766321,-359.22008515427876,182.0440564693042,-346.2398028300137,182.42958068847656,-353.22918701171875
181.28647200591024,-359.3469051667458,180.61051764431144,-346.3644773183553,180.97189331054688,-353.3050842285156
179.8103529259091,-359.4691624141947,179.1731036820005,-346.4347170154792,179.51248168945312,-353.3764343261719
178.33397906272108,-359.6366746646072,177.73449061980492,-346.50033271569055,178.05133056640625,-353.443115234375
