x_points,y_points
-1.0,0.0
-0.9,0.0007542722742073238
-0.8,0.003981072921305895
-0.7,0.010534622706472874
-0.6,0.02101222425699234
-0.5,0.035896819084882736
-0.3999999999999999,0.055602073669433594
-0.29999999999999993,0.08049396425485611
-0.19999999999999996,0.11090316623449326
-0.09999999999999998,0.1471329629421234
0.0,0.18946455419063568
0.10000000000000009,0.2381608933210373
0.20000000000000018,0.29346951842308044
0.30000000000000004,0.3556247651576996
0.40000000000000013,0.42484965920448303
0.5,0.5014371871948242
0.6000000000000001,0.5853503942489624
0.7000000000000002,0.6770261526107788
0.8,0.7765724658966064
0.9000000000000001,0.8841717839241028
1.0,1.0
